"কমান্ডগুলি folding করার জন্য (যেমন: za) এক স্তরে কাজ করে। সমস্ত স্তরে কাজ করতে, বড় হাতের অক্ষর ব্যবহার করুন (যেমন: zA).","ফাইলের পার্থক্য দেখতে,vimdiff একটি টার্মিনালে চালানোর মাধ্যমে কেউ সরাসরি ডিফ মোডে ভিম শুরু করতে পারে। এক এমনকি এটি হিসাবে সেট করতে পারেন git difftool."
zf,ম্যানুয়ালি একটি মোশন ফোল্ডআপ করুন
zd,কার্সারের নীচে অংশ মুছুন
za,কার্সারের নিচে অংশ টগল করুন
zo,কার্সারের নীচে অংশ খুলুন
zc,কার্সারের নিচের অংশ বন্ধ করুন
zr,সমস্ত খোলা (open) অংশ এক লেভেল পর্যন্ত ভাঁজ করুন
zm,সব অংশকে এক স্তরে আরও (বন্ধ) ভাঁজ করুন
zi,ভাঁজ (folding) কার্যকারিতা টগল করুন
]c,পরবর্তী পরিবর্তনের শুরুতে যাও
[c,আগের পরিবর্তনের শুরুতে যাও
do or :diffg[et],প্রাপ্ত (get) পার্থক্য (অন্যান্য বাফার থেকে)
dp or :diffpu[t],পার্থক্য রাখুন (অন্যান্য বাফারে)
:diffthis,বর্তমান উইন্ডো ডিফের অংশ করুন
:dif[fupdate],আপডেট পার্থক্য (differences)
:diffo[ff],বর্তমান উইন্ডোর জন্য ডিফ মোড বন্ধ করুন
